ticket_id,date_created,customer_id,channel,category,sub_category,query_text,sentiment,risk_level,resolution_text,resolution_time_minutes,resolved_by,customer_satisfaction,escalated
TKT-10024,2023-11-01,CUST171262,Mobile App,Fraud/Unauthorized,I got a message that ₹{amt} was debited ,"I got a message that ₹1,500 was debited but I didn't shop",Angry,Medium,SMS alert verified in system. Transaction traced to recurring subscription. Customer advised to cancel subscription or raise dispute.,30,Sneha R.,3,No
TKT-10025,2023-12-03,CUST712024,Branch,Fraud/Unauthorized,I got a message that ₹{amt} was debited ,"I got a message that ₹25,000 was debited but I didn't shop",Confused,Medium,SMS alert verified in system. Transaction traced to recurring subscription. Customer advised to cancel subscription or raise dispute.,55,Anjali K.,3,No
TKT-10026,2023-11-27,CUST414569,Email,Fraud/Unauthorized,Multiple small transactions from my acco,Multiple small transactions from my account I don't recognize,Anxious,High,Pattern of micro-transactions detected — possible card skimming. Card blocked. New card dispatched. FIR lodged on behalf of customer.,29,Priya S.,2,Yes
TKT-10027,2023-05-16,CUST238890,Phone,Fraud/Unauthorized,Multiple small transactions from my acco,Multiple small transactions from my account I don't recognize,Frustrated,High,Pattern of micro-transactions detected — possible card skimming. Card blocked. New card dispatched. FIR lodged on behalf of customer.,12,Anjali K.,4,No
TKT-10028,2023-12-08,CUST956795,Branch,Fraud/Unauthorized,Multiple small transactions from my acco,Multiple small transactions from my account I don't recognize,Anxious,High,Pattern of micro-transactions detected — possible card skimming. Card blocked. New card dispatched. FIR lodged on behalf of customer.,26,Priya S.,3,No
TKT-10029,2023-11-06,CUST320861,Phone,Fraud/Unauthorized,Multiple small transactions from my acco,Multiple small transactions from my account I don't recognize,Neutral,High,Pattern of micro-transactions detected — possible card skimming. Card blocked. New card dispatched. FIR lodged on behalf of customer.,26,Auto-Resolved,4,Yes
TKT-10030,2023-01-23,CUST103717,Phone,Fraud/Unauthorized,Multiple small transactions from my acco,Multiple small transactions from my account I don't recognize,Neutral,High,Pattern of micro-transactions detected — possible card skimming. Card blocked. New card dispatched. FIR lodged on behalf of customer.,25,Anjali K.,3,Yes
TKT-10031,2023-02-08,CUST824586,Mobile App,Fraud/Unauthorized,Someone used my credit card online witho,Someone used my credit card online without my knowledge,Confused,High,Card-not-present fraud detected. Credit card blocked. Dispute filed. Refund processed in 5-7 days after merchant response.,6,Anjali K.,3,Yes
TKT-10032,2023-12-16,CUST361650,Web Chat,Fraud/Unauthorized,Someone used my credit card online witho,Someone used my credit card online without my knowledge,Anxious,High,Card-not-present fraud detected. Credit card blocked. Dispute filed. Refund processed in 5-7 days after merchant response.,29,Sneha R.,5,Yes
TKT-10033,2023-01-13,CUST288073,Phone,Fraud/Unauthorized,Someone used my credit card online witho,Someone used my credit card online without my knowledge,Angry,High,Card-not-present fraud detected. Credit card blocked. Dispute filed. Refund processed in 5-7 days after merchant response.,30,Auto-Resolved,3,No
TKT-10034,2023-04-13,CUST956253,Email,Fraud/Unauthorized,Someone used my credit card online witho,Someone used my credit card online without my knowledge,Anxious,High,Card-not-present fraud detected. Credit card blocked. Dispute filed. Refund processed in 5-7 days after merchant response.,14,Rahul M.,3,No
TKT-10035,2023-06-29,CUST772642,Branch,Fraud/Unauthorized,Someone used my credit card online witho,Someone used my credit card online without my knowledge,Angry,High,Card-not-present fraud detected. Credit card blocked. Dispute filed. Refund processed in 5-7 days after merchant response.,26,Sneha R.,4,Yes
TKT-10036,2023-02-25,CUST725550,Email,Fraud/Unauthorized,I found a duplicate charge of ₹{amt} on ,I found a duplicate charge of ₹999 on my statement,Anxious,Low,Duplicate charge confirmed by payment processor. Full refund credited to account within 3 business days.,216,Anjali K.,4,No
TKT-10037,2023-05-11,CUST146542,Email,Fraud/Unauthorized,I found a duplicate charge of ₹{amt} on ,"I found a duplicate charge of ₹25,000 on my statement",Frustrated,Low,Duplicate charge confirmed by payment processor. Full refund credited to account within 3 business days.,163,Sneha R.,5,No
TKT-10038,2023-06-10,CUST795612,Web Chat,Fraud/Unauthorized,I found a duplicate charge of ₹{amt} on ,"I found a duplicate charge of ₹2,000 on my statement",Urgent,Low,Duplicate charge confirmed by payment processor. Full refund credited to account within 3 business days.,106,Sneha R.,4,No
TKT-10039,2023-03-07,CUST301158,Email,Fraud/Unauthorized,I found a duplicate charge of ₹{amt} on ,"I found a duplicate charge of ₹7,500 on my statement",Urgent,Low,Duplicate charge confirmed by payment processor. Full refund credited to account within 3 business days.,127,Auto-Resolved,5,No
TKT-10040,2023-01-01,CUST418635,Phone,Fraud/Unauthorized,I found a duplicate charge of ₹{amt} on ,"I found a duplicate charge of ₹1,500 on my statement",Neutral,Low,Duplicate charge confirmed by payment processor. Full refund credited to account within 3 business days.,140,Sneha R.,5,No
TKT-10041,2023-08-31,CUST932291,Mobile App,Fraud/Unauthorized,I never signed up for this subscription ,"I never signed up for this subscription but ₹5,000 is charged monthly",Urgent,Low,Recurring mandate identified. Mandate cancelled. Last 3 months of charges refunded. Customer informed of opt-out process.,51,Anjali K.,5,No
TKT-10042,2023-04-12,CUST254511,Web Chat,Fraud/Unauthorized,I never signed up for this subscription ,"I never signed up for this subscription but ₹25,000 is charged monthly",Frustrated,Low,Recurring mandate identified. Mandate cancelled. Last 3 months of charges refunded. Customer informed of opt-out process.,92,Vikram P.,5,No
TKT-10043,2023-12-23,CUST502630,Email,Fraud/Unauthorized,I never signed up for this subscription ,I never signed up for this subscription but ₹999 is charged monthly,Angry,Low,Recurring mandate identified. Mandate cancelled. Last 3 months of charges refunded. Customer informed of opt-out process.,92,Rahul M.,5,No
TKT-10044,2023-04-01,CUST943170,Branch,Fraud/Unauthorized,I never signed up for this subscription ,I never signed up for this subscription but ₹500 is charged monthly,Angry,Low,Recurring mandate identified. Mandate cancelled. Last 3 months of charges refunded. Customer informed of opt-out process.,42,Sneha R.,3,No
TKT-10045,2023-11-01,CUST432711,Email,Fraud/Unauthorized,I never signed up for this subscription ,I never signed up for this subscription but ₹999 is charged monthly,Confused,Low,Recurring mandate identified. Mandate cancelled. Last 3 months of charges refunded. Customer informed of opt-out process.,238,Auto-Resolved,5,No
TKT-10046,2023-08-19,CUST371782,Mobile App,Fraud/Unauthorized,My UPI ID was used to transfer money wit,My UPI ID was used to transfer money without my consent,Urgent,High,UPI transaction flagged. Complaint raised with NPCI. Account temporarily restricted. Customer advised to change UPI PIN immediately.,13,Sneha R.,5,Yes
TKT-10047,2023-05-20,CUST452161,Phone,Fraud/Unauthorized,My UPI ID was used to transfer money wit,My UPI ID was used to transfer money without my consent,Confused,High,UPI transaction flagged. Complaint raised with NPCI. Account temporarily restricted. Customer advised to change UPI PIN immediately.,7,Rahul M.,3,No
TKT-10048,2023-06-19,CUST668969,Email,Fraud/Unauthorized,My UPI ID was used to transfer money wit,My UPI ID was used to transfer money without my consent,Angry,High,UPI transaction flagged. Complaint raised with NPCI. Account temporarily restricted. Customer advised to change UPI PIN immediately.,6,Rahul M.,5,No
TKT-10049,2023-01-04,CUST468845,Phone,Fraud/Unauthorized,My UPI ID was used to transfer money wit,My UPI ID was used to transfer money without my consent,Angry,High,UPI transaction flagged. Complaint raised with NPCI. Account temporarily restricted. Customer advised to change UPI PIN immediately.,18,Sneha R.,3,Yes
TKT-10050,2023-12-09,CUST812131,Email,Fraud/Unauthorized,My UPI ID was used to transfer money wit,My UPI ID was used to transfer money without my consent,Urgent,High,UPI transaction flagged. Complaint raised with NPCI. Account temporarily restricted. Customer advised to change UPI PIN immediately.,10,Vikram P.,3,Yes
TKT-10051,2023-01-14,CUST188025,Email,Loan,What is the status of my home loan appli,What is the status of my home loan application #TKT128276?,Neutral,Low,Loan application #TKT128276 is under credit appraisal. Verification of property documents pending. Expected decision within 5 working days.,148,Rahul M.,3,No
TKT-10052,2023-06-22,CUST898207,Email,Loan,What is the status of my home loan appli,What is the status of my home loan application #TKT497519?,Anxious,Low,Loan application #TKT497519 is under credit appraisal. Verification of property documents pending. Expected decision within 5 working days.,222,Vikram P.,4,No
TKT-10053,2023-06-29,CUST335113,Web Chat,Loan,What is the status of my home loan appli,What is the status of my home loan application #TKT593152?,Urgent,Low,Loan application #TKT593152 is under credit appraisal. Verification of property documents pending. Expected decision within 5 working days.,40,Priya S.,3,No
TKT-10054,2023-03-06,CUST596564,Web Chat,Loan,What is the status of my home loan appli,What is the status of my home loan application #TKT979995?,Confused,Low,Loan application #TKT979995 is under credit appraisal. Verification of property documents pending. Expected decision within 5 working days.,85,Vikram P.,5,No
TKT-10055,2023-02-28,CUST915573,Mobile App,Loan,What is the status of my home loan appli,What is the status of my home loan application #TKT904150?,Anxious,Low,Loan application #TKT904150 is under credit appraisal. Verification of property documents pending. Expected decision within 5 working days.,57,Sneha R.,3,No
TKT-10056,2023-02-08,CUST720859,Mobile App,Loan,My personal loan was approved but I have,My personal loan was approved but I haven't received the amount,Frustrated,Low,Loan disbursement scheduled. Delay due to NACH mandate registration. Amount to be credited within 48 hours.,208,Anjali K.,5,No
TKT-10057,2023-09-30,CUST549186,Phone,Loan,My personal loan was approved but I have,My personal loan was approved but I haven't received the amount,Frustrated,Low,Loan disbursement scheduled. Delay due to NACH mandate registration. Amount to be credited within 48 hours.,159,Auto-Resolved,4,No
TKT-10058,2023-07-05,CUST766459,Email,Loan,My personal loan was approved but I have,My personal loan was approved but I haven't received the amount,Urgent,Low,Loan disbursement scheduled. Delay due to NACH mandate registration. Amount to be credited within 48 hours.,69,Vikram P.,3,No
TKT-10059,2023-08-27,CUST556732,Branch,Loan,My personal loan was approved but I have,My personal loan was approved but I haven't received the amount,Anxious,Low,Loan disbursement scheduled. Delay due to NACH mandate registration. Amount to be credited within 48 hours.,112,Rahul M.,3,No
TKT-10060,2023-12-09,CUST497399,Phone,Loan,My personal loan was approved but I have,My personal loan was approved but I haven't received the amount,Frustrated,Low,Loan disbursement scheduled. Delay due to NACH mandate registration. Amount to be credited within 48 hours.,156,Anjali K.,3,No
TKT-10061,2023-11-02,CUST835244,Phone,Loan,Why was my loan application rejected,Why was my loan application rejected?,Confused,Low,"Application reviewed. Rejection due to low CIBIL score (540). Recommended: clear existing dues, re-apply after 6 months.",32,Sneha R.,3,No
TKT-10062,2023-05-04,CUST824156,Email,Loan,Why was my loan application rejected,Why was my loan application rejected?,Urgent,Low,"Application reviewed. Rejection due to low CIBIL score (634). Recommended: clear existing dues, re-apply after 6 months.",212,Vikram P.,4,No
TKT-10063,2023-05-05,CUST421080,Branch,Loan,Why was my loan application rejected,Why was my loan application rejected?,Anxious,Low,"Application reviewed. Rejection due to low CIBIL score (525). Recommended: clear existing dues, re-apply after 6 months.",151,Sneha R.,5,No
TKT-10064,2023-12-26,CUST575786,Phone,Loan,Why was my loan application rejected,Why was my loan application rejected?,Anxious,Low,"Application reviewed. Rejection due to low CIBIL score (640). Recommended: clear existing dues, re-apply after 6 months.",94,Rahul M.,3,No
TKT-10065,2023-04-05,CUST300845,Mobile App,Loan,Why was my loan application rejected,Why was my loan application rejected?,Urgent,Low,"Application reviewed. Rejection due to low CIBIL score (480). Recommended: clear existing dues, re-apply after 6 months.",153,Anjali K.,5,No
TKT-10066,2023-04-10,CUST410636,Mobile App,Loan,I applied for a business loan 3 weeks ag,I applied for a business loan 3 weeks ago and heard nothing,Anxious,Medium,Application under enhanced due diligence. Additional documents requested via email. Please submit GST returns for last 2 years.,37,Anjali K.,3,No
TKT-10067,2023-05-30,CUST831295,Mobile App,Loan,I applied for a business loan 3 weeks ag,I applied for a business loan 3 weeks ago and heard nothing,Urgent,Medium,Application under enhanced due diligence. Additional documents requested via email. Please submit GST returns for last 2 years.,77,Priya S.,3,No
TKT-10068,2023-04-05,CUST153872,Phone,Loan,I applied for a business loan 3 weeks ag,I applied for a business loan 3 weeks ago and heard nothing,Angry,Medium,Application under enhanced due diligence. Additional documents requested via email. Please submit GST returns for last 2 years.,29,Priya S.,4,No
TKT-10069,2023-03-18,CUST950544,Branch,Loan,I applied for a business loan 3 weeks ag,I applied for a business loan 3 weeks ago and heard nothing,Anxious,Medium,Application under enhanced due diligence. Additional documents requested via email. Please submit GST returns for last 2 years.,25,Rahul M.,3,No
TKT-10070,2023-04-26,CUST913373,Branch,Loan,I applied for a business loan 3 weeks ag,I applied for a business loan 3 weeks ago and heard nothing,Angry,Medium,Application under enhanced due diligence. Additional documents requested via email. Please submit GST returns for last 2 years.,72,Vikram P.,4,No
TKT-10071,2023-11-09,CUST876039,Web Chat,Loan,Can I get an education loan for my child,Can I get an education loan for my child?,Neutral,Low,Education loan schemes available for recognized institutions. Loan up to ₹20L for domestic courses. Connect to nearest branch for application.,190,Rahul M.,4,No
TKT-10072,2023-03-22,CUST102805,Email,Loan,Can I get an education loan for my child,Can I get an education loan for my child?,Angry,Low,Education loan schemes available for recognized institutions. Loan up to ₹20L for domestic courses. Connect to nearest branch for application.,206,Sneha R.,4,No
TKT-10073,2023-08-21,CUST174637,Mobile App,Loan,Can I get an education loan for my child,Can I get an education loan for my child?,Anxious,Low,Education loan schemes available for recognized institutions. Loan up to ₹20L for domestic courses. Connect to nearest branch for application.,231,Auto-Resolved,5,No
TKT-10074,2023-03-18,CUST378535,Mobile App,Loan,Can I get an education loan for my child,Can I get an education loan for my child?,Frustrated,Low,Education loan schemes available for recognized institutions. Loan up to ₹20L for domestic courses. Connect to nearest branch for application.,45,Rahul M.,4,No
TKT-10075,2023-03-05,CUST591465,Phone,Loan,Can I get an education loan for my child,Can I get an education loan for my child?,Urgent,Low,Education loan schemes available for recognized institutions. Loan up to ₹20L for domestic courses. Connect to nearest branch for application.,133,Anjali K.,5,No
TKT-10076,2023-08-10,CUST870214,Phone,Loan,My EMI was deducted twice this month,My EMI was deducted twice this month,Confused,Medium,"Duplicate EMI deduction confirmed. Extra amount of ₹15,000 to be refunded within 3 working days.",47,Priya S.,3,No
TKT-10077,2023-12-11,CUST961322,Phone,Loan,My EMI was deducted twice this month,My EMI was deducted twice this month,Confused,Medium,"Duplicate EMI deduction confirmed. Extra amount of ₹2,000 to be refunded within 3 working days.",20,Rahul M.,4,No
TKT-10078,2023-08-12,CUST765620,Email,Loan,My EMI was deducted twice this month,My EMI was deducted twice this month,Frustrated,Medium,"Duplicate EMI deduction confirmed. Extra amount of ₹15,000 to be refunded within 3 working days.",75,Anjali K.,4,No
TKT-10079,2023-07-30,CUST827369,Email,Loan,My EMI was deducted twice this month,My EMI was deducted twice this month,Anxious,Medium,"Duplicate EMI deduction confirmed. Extra amount of ₹5,000 to be refunded within 3 working days.",66,Sneha R.,3,No
TKT-10080,2023-07-26,CUST639593,Web Chat,Loan,My EMI was deducted twice this month,My EMI was deducted twice this month,Urgent,Medium,"Duplicate EMI deduction confirmed. Extra amount of ₹10,000 to be refunded within 3 working days.",84,Vikram P.,4,No
TKT-10081,2023-11-17,CUST563513,Web Chat,Loan,I want to foreclose my car loan,I want to foreclose my car loan,Neutral,Low,Foreclosure request received. Outstanding principal: ₹500. Foreclosure charges: 2% of outstanding. No-dues certificate issued upon full payment.,98,Sneha R.,3,No
TKT-10082,2023-01-15,CUST760626,Branch,Loan,I want to foreclose my car loan,I want to foreclose my car loan,Neutral,Low,"Foreclosure request received. Outstanding principal: ₹3,500. Foreclosure charges: 2% of outstanding. No-dues certificate issued upon full payment.",211,Rahul M.,4,No
TKT-10083,2023-02-28,CUST583863,Web Chat,Loan,I want to foreclose my car loan,I want to foreclose my car loan,Urgent,Low,"Foreclosure request received. Outstanding principal: ₹15,000. Foreclosure charges: 2% of outstanding. No-dues certificate issued upon full payment.",69,Vikram P.,5,No
TKT-10084,2023-08-30,CUST355570,Email,Loan,I want to foreclose my car loan,I want to foreclose my car loan,Confused,Low,"Foreclosure request received. Outstanding principal: ₹3,500. Foreclosure charges: 2% of outstanding. No-dues certificate issued upon full payment.",67,Vikram P.,3,No
TKT-10085,2023-08-01,CUST456385,Branch,Loan,I want to foreclose my car loan,I want to foreclose my car loan,Anxious,Low,"Foreclosure request received. Outstanding principal: ₹25,000. Foreclosure charges: 2% of outstanding. No-dues certificate issued upon full payment.",240,Priya S.,4,No
TKT-10086,2023-08-17,CUST664742,Email,Loan,My loan top-up request has been pending ,My loan top-up request has been pending for 2 weeks,Anxious,Medium,Top-up application under review. Income documents pending verification. Customer to submit latest 3-month salary slips.,57,Sneha R.,5,No
TKT-10087,2023-07-16,CUST344907,Email,Loan,My loan top-up request has been pending ,My loan top-up request has been pending for 2 weeks,Frustrated,Medium,Top-up application under review. Income documents pending verification. Customer to submit latest 3-month salary slips.,55,Auto-Resolved,4,No
TKT-10088,2023-01-19,CUST232378,Branch,Loan,My loan top-up request has been pending ,My loan top-up request has been pending for 2 weeks,Confused,Medium,Top-up application under review. Income documents pending verification. Customer to submit latest 3-month salary slips.,57,Priya S.,4,No
TKT-10089,2023-12-02,CUST261859,Web Chat,Loan,My loan top-up request has been pending ,My loan top-up request has been pending for 2 weeks,Angry,Medium,Top-up application under review. Income documents pending verification. Customer to submit latest 3-month salary slips.,48,Anjali K.,5,No
TKT-10090,2023-06-12,CUST757246,Email,Loan,My loan top-up request has been pending ,My loan top-up request has been pending for 2 weeks,Confused,Medium,Top-up application under review. Income documents pending verification. Customer to submit latest 3-month salary slips.,19,Sneha R.,3,No
TKT-10091,2023-08-11,CUST203225,Web Chat,Loan,Interest rate on my loan seems higher th,Interest rate on my loan seems higher than agreed,Angry,Low,Loan agreement reviewed. Rate of interest matches agreed terms. Variation due to MCLR reset — customer informed as per RBI guidelines.,72,Auto-Resolved,4,No
TKT-10092,2023-07-11,CUST551607,Mobile App,Loan,Interest rate on my loan seems higher th,Interest rate on my loan seems higher than agreed,Neutral,Low,Loan agreement reviewed. Rate of interest matches agreed terms. Variation due to MCLR reset — customer informed as per RBI guidelines.,165,Vikram P.,5,No
TKT-10093,2023-11-14,CUST816318,Mobile App,Loan,Interest rate on my loan seems higher th,Interest rate on my loan seems higher than agreed,Angry,Low,Loan agreement reviewed. Rate of interest matches agreed terms. Variation due to MCLR reset — customer informed as per RBI guidelines.,179,Rahul M.,3,No
TKT-10094,2023-01-05,CUST943718,Email,Loan,Interest rate on my loan seems higher th,Interest rate on my loan seems higher than agreed,Anxious,Low,Loan agreement reviewed. Rate of interest matches agreed terms. Variation due to MCLR reset — customer informed as per RBI guidelines.,203,Sneha R.,3,No
TKT-10095,2023-08-06,CUST823846,Phone,Loan,Interest rate on my loan seems higher th,Interest rate on my loan seems higher than agreed,Angry,Low,Loan agreement reviewed. Rate of interest matches agreed terms. Variation due to MCLR reset — customer informed as per RBI guidelines.,107,Rahul M.,4,No
TKT-10096,2023-10-22,CUST410244,Phone,Loan,I want to restructure my loan due to job,I want to restructure my loan due to job loss,Frustrated,High,Moratorium request initiated under RBI COVID restructuring guidelines. EMI holiday of 3 months granted. Interest capitalised during moratorium period.,26,Vikram P.,4,No
TKT-10097,2023-11-07,CUST940886,Phone,Loan,I want to restructure my loan due to job,I want to restructure my loan due to job loss,Neutral,High,Moratorium request initiated under RBI COVID restructuring guidelines. EMI holiday of 3 months granted. Interest capitalised during moratorium period.,25,Rahul M.,4,Yes
TKT-10098,2023-08-14,CUST134985,Branch,Loan,I want to restructure my loan due to job,I want to restructure my loan due to job loss,Anxious,High,Moratorium request initiated under RBI COVID restructuring guidelines. EMI holiday of 3 months granted. Interest capitalised during moratorium period.,28,Rahul M.,2,Yes
TKT-10099,2023-10-04,CUST483629,Branch,Loan,I want to restructure my loan due to job,I want to restructure my loan due to job loss,Confused,High,Moratorium request initiated under RBI COVID restructuring guidelines. EMI holiday of 3 months granted. Interest capitalised during moratorium period.,13,Rahul M.,4,Yes
TKT-10100,2023-08-28,CUST178957,Mobile App,Loan,I want to restructure my loan due to job,I want to restructure my loan due to job loss,Neutral,High,Moratorium request initiated under RBI COVID restructuring guidelines. EMI holiday of 3 months granted. Interest capitalised during moratorium period.,26,Auto-Resolved,5,Yes
TKT-10101,2023-10-02,CUST229592,Email,KYC,My account is frozen because of KYC but ,My account is frozen because of KYC but I submitted documents,Anxious,Medium,Documents received but not yet verified. Account unfreezing expected within 48 hours. Customer to re-submit Aadhaar and PAN via net banking portal.,48,Sneha R.,4,No
TKT-10102,2023-11-14,CUST688678,Phone,KYC,My account is frozen because of KYC but ,My account is frozen because of KYC but I submitted documents,Confused,Medium,Documents received but not yet verified. Account unfreezing expected within 48 hours. Customer to re-submit Aadhaar and PAN via net banking portal.,43,Auto-Resolved,3,No
TKT-10103,2023-03-13,CUST147549,Web Chat,KYC,My account is frozen because of KYC but ,My account is frozen because of KYC but I submitted documents,Anxious,Medium,Documents received but not yet verified. Account unfreezing expected within 48 hours. Customer to re-submit Aadhaar and PAN via net banking portal.,78,Priya S.,3,No
